,time,keypress
0,0.7686586380004883,a
1,1.1536586284637451,space
2,1.4836585521697998,b
3,1.8806586265563965,space
4,2.103658437728882,c
5,2.277658462524414,space
6,2.4326584339141846,d
7,2.6296584606170654,space
8,2.7636585235595703,e
9,2.970658540725708,space
10,3.1216585636138916,f
11,3.2686586380004883,space
12,3.40065860748291,g
13,3.5526585578918457,space
14,3.728658437728882,h
15,3.832658529281616,space
16,4.053658485412598,i
17,4.213658571243286,space
18,4.408658504486084,j
19,4.545658588409424,space
20,4.761658430099487,k
21,4.944658517837524,space
22,5.169658422470093,l
23,5.3106584548950195,space
24,5.479658603668213,m
25,5.617658615112305,space
26,5.80465841293335,n
27,5.926658630371094,space
28,6.091658592224121,o
29,6.242658615112305,space
30,6.3826584815979,p
31,6.523658514022827,space
32,6.634658575057983,q
33,6.737658500671387,space
34,6.856658458709717,e
35,6.970658540725708,space
36,7.442658424377441,space
37,7.5056586265563965,r
38,7.635658502578735,space
39,7.73965859413147,s
40,7.826658487319946,space
41,7.953658580780029,t
42,8.036658525466919,space
43,8.240658521652222,space
44,8.399658441543579,u
45,8.542658567428589,v
46,8.589658498764038,space
47,8.758658409118652,space
48,8.890658617019653,w
49,8.980658531188965,space
50,9.083658456802368,a
51,9.178658485412598,space
52,9.23965859413147,d
53,9.398658514022827,space
54,9.625658512115479,space
55,9.675658464431763,w
56,9.782658576965332,a
57,9.849658489227295,f
58,9.859658479690552,space
